,Store#,County_x,City,CountyNum,Total_Sales_2015_Q1,Sales_Mean_2015_Q1,Total_Liters_2015_Q1,Avg_Liters_2015_Q1,Zip_Code_x,Avg_PPL_2015_Q1,Avg_Margin_2015_Q1,County_y,Total_Sales_2015,Sales_Mean_2015,Total_Liters_2015,Avg_Liters_2015,Zip_Code_y,Avg_PPL_2015,Avg_Margin_2015,County#
661,4415,Hardin,ACKLEY,42.0,6530.43,114.568947368,649.94,11.4024561404,50601,13.5095238095,3.76456140351,Hardin,33202.3,75.2886621315,3018.41,6.84446712018,50601,15.3308951517,4.02099773243,42.0
662,4416,Guthrie,CASEY,39.0,9049.79,135.071492537,613.7,9.15970149254,50048,16.9718692253,3.93805970149,Guthrie,35536.74,126.016808511,2479.25,8.79166666667,50048,16.8420533604,3.97411347518,39.0
663,4417,Adair,ADAIR,1.0,8698.92,144.982,546.0,9.1,50002,17.2715952381,4.58816666667,Adair,29745.5,138.997663551,2025.0,9.46261682243,50002,16.1139363596,4.5161682243,1.0
664,4418,Pottawattamie,WALNUT,78.0,9675.68,116.574457831,625.75,7.53915662651,51577,18.1710384395,4.21060240964,Pottawattamie,38339.36,108.918636364,2559.35,7.27088068182,51577,18.0486458333,4.22826704545,78.0
665,4419,Decatur,LAMONI,27.0,8233.15,85.7619791667,611.14,6.36604166667,50140,16.5604861111,3.6153125,Decatur,45453.77,81.1674464286,3139.99,5.607125,50140,17.4813307823,3.71194642857,27.0
666,4420,Wapello,OTTUMWA,90.0,6983.48,109.116875,467.01,7.29703125,52501,18.754858631,3.99734375,Wapello,28584.21,66.6298601399,1941.27,4.5251048951,52501,18.4474037074,3.88832167832,90.0
667,4421,Franklin,HAMPTON,35.0,6960.64,103.890149254,463.79,6.92223880597,50441,20.5604832978,4.10044776119,Franklin,25810.36,100.040155039,1851.46,7.17620155039,50441,19.5932502769,4.09379844961,35.0
668,4424,Des Moines,BURLINGTON,29.0,6625.26,135.209387755,360.8,7.36326530612,52601,19.8514868805,3.86510204082,Des Moines,26424.4,132.122,1532.0,7.66,52601,18.301527381,3.93,29.0
669,4425,Pottawattamie,COUNCIL BLUFFS,78.0,4332.94,100.766046512,359.0,8.3488372093,51501,18.0248726467,3.30581395349,Pottawattamie,8809.1,86.3637254902,675.99,6.62735294118,51501,17.9340802988,3.14333333333,78.0
670,4426,Marshall,MARSHALLTOWN,64.0,78009.77,92.4286374408,5256.9,6.22855450237,50158,18.2570283232,4.34312796209,Marshall,292125.76,96.315779756,19708.5,6.49802176063,50158,18.0289201325,4.4299901088,64.0
671,4427,Johnson,NORTH LIBERTY,52.0,9636.55,66.4589655172,653.06,4.50386206897,52317,17.1218949097,4.13868965517,Johnson,43899.86,73.7812773109,2971.82,4.99465546218,52317,17.3320216086,4.12001680672,52.0
672,4428,Story,AMES,85.0,16244.6,109.024161074,1116.0,7.48993288591,50014,16.3526494088,4.43570469799,Story,66703.37,112.865262267,4689.14,7.93424703892,50014,16.4877117074,4.50042301184,85.0
673,4429,Jasper,COLFAX,50.0,12388.71,97.5488976378,947.67,7.46196850394,50054,16.0070678665,4.2931496063,Jasper,48348.68,111.402488479,3413.22,7.86456221198,50054,16.4203094141,4.31184331797,50.0
674,4430,Webster,FORT DODGE,94.0,8884.42,138.8190625,750.0,11.71875,50501,14.5460863095,3.55625,Webster,31864.64,111.414825175,2525.13,8.82912587413,50501,16.2643323343,3.68094405594,94.0
675,4431,Webster,FORT DODGE,94.0,8220.42,149.462181818,736.5,13.3909090909,50501,13.1976969697,3.37727272727,Webster,29499.65,124.471097046,2432.83,10.2651054852,50501,14.0503295158,3.57848101266,94.0
676,4432,Johnson,CORALVILLE,52.0,12457.21,88.3490070922,868.65,6.16063829787,52241,17.4413812901,3.61765957447,Johnson,35663.35,83.3255841121,2473.8,5.77990654206,52241,17.8284679573,3.49130841121,52.0
677,4433,Polk,PLEASANT HILL,77.0,10093.2,81.3967741935,685.98,5.53209677419,50317,17.500890937,4.01016129032,Polk,46718.38,82.5413074205,3166.51,5.59454063604,50317,17.6012914353,3.96208480565,77.0
678,4434,Lyon,ROCK RAPIDS,60.0,18371.32,73.48528,1506.56,6.02624,51246,14.9127847619,5.07,Lyon,77440.13,77.9860322256,6505.05,6.55090634441,51246,14.3519536757,4.95382678751,60.0
679,4435,Pottawattamie,COUNCIL BLUFFS,78.0,5431.26,89.0370491803,390.72,6.40524590164,51501,17.3803512881,3.49131147541,Pottawattamie,21514.16,90.3956302521,1534.84,6.44890756303,51501,16.6984453782,3.51268907563,78.0
680,4436,Story,AMES,85.0,21465.28,124.076763006,1720.91,9.9474566474,50010,16.5948224608,4.39728323699,Story,82226.48,111.72076087,6358.51,8.6392798913,50010,17.4947877847,4.49631793478,85.0
681,4437,Story,AMES,85.0,12896.67,84.8465131579,1029.85,6.77532894737,50010,15.2867199248,3.90802631579,Story,59680.52,79.468069241,4520.82,6.01973368842,50010,16.1121051297,4.02806924101,85.0
682,4438,Story,AMES,85.0,9896.04,69.6904225352,780.77,5.49838028169,50010,16.7192085848,3.77316901408,Story,43390.59,53.5025770654,3285.53,4.05120838471,50010,17.2551782045,3.66246609125,85.0
683,4439,Linn,CENTER POINT,57.0,16221.11,57.7263701068,1513.25,5.38523131673,52213,12.9355736316,4.04231316726,Linn,71209.61,51.1931056794,6628.35,4.76516894321,52213,13.6301251241,4.20574406902,57.0
684,4440,Pottawattamie,COUNCIL BLUFFS,78.0,5605.85,130.368604651,380.25,8.84302325581,51503,16.2796456257,3.6888372093,Pottawattamie,24465.63,108.255,1720.5,7.61283185841,51503,15.8958027813,3.67066371681,78.0
