,Store#,County,City,County#,Total_Sales_2016_Q1,Sales_Mean_2016_Q1,Total_Liters_2016_Q1,Avg_PPL_2016_Q1,Zip_Code,Avg_Liters_2016_Q1,Avg_Margin_2016_Q1,Predicted 2016 TotalSales
647,4443,Linn,PALO,57.0,11278.92,139.245925926,823.2,10.162962963,52324,14.0356731335,5.25790123457,61854.9681398
648,4444,Woodbury,SLOAN,97.0,20037.94,87.5019213974,1369.27,5.97934497817,51055,17.1253212726,3.62227074236,79342.2321973
649,4445,Hamilton,WEBSTER CITY,40.0,10947.01,103.273679245,821.85,7.75330188679,50595,15.3878975741,3.67735849057,42408.3101822
650,4446,Polk,URBANDALE,77.0,22401.35,47.9686295503,1358.69,2.90940042827,50322,19.5188803916,2.93312633833,80481.8581796
651,4447,Polk,URBANDALE,77.0,13798.87,79.3038505747,887.96,5.1032183908,50322,18.4345073892,3.57281609195,52058.294811
652,4448,Polk,URBANDALE,77.0,7591.2,80.7574468085,508.47,5.40925531915,50322,17.3822998987,4.52840425532,36213.9849977
653,4449,Polk,URBANDALE,77.0,8971.93,76.0333050847,634.3,5.37542372881,50322,17.1099677159,4.0543220339,36959.6581707
654,4450,Polk,URBANDALE,77.0,12742.53,83.2845098039,881.07,5.75862745098,50323,17.0124245254,4.3254248366,55956.356125
655,4451,Hamilton,WEBSTER CITY,40.0,9559.67,83.1275652174,895.62,7.788,50595,14.8343229814,3.3632173913,33211.8985949
656,4452,Woodbury,SIOUX CITY,97.0,24386.87,68.3105602241,1651.39,4.62574229692,51105,20.177224223,3.6987394958,97867.3943348
657,4453,Winnebago,FOREST CITY,95.0,25410.94,76.3091291291,2065.17,6.20171171171,50436,16.8883097383,4.81498498498,114874.296114
658,4454,Woodbury,SIOUX CITY,97.0,6307.02,153.829756098,453.0,11.0487804878,51109,17.6363530778,3.76682926829,25358.9474587
659,4455,Hardin,ELDORA,42.0,5908.84,60.2942857143,573.27,5.84969387755,50627,15.0614674441,3.69234693878,20389.4306331
660,4456,Johnson,IOWA CITY,52.0,12533.14,42.3416891892,861.41,2.91016891892,52246,18.0788416988,3.44168918919,44262.8116345
661,4457,Johnson,IOWA CITY,52.0,15524.67,91.8619526627,1055.1,6.24319526627,52240,17.0481544097,3.87781065089,63148.844581
662,4458,Polk,JOHNSTON,77.0,5266.75,64.2286585366,311.33,3.79670731707,50131,19.6036759582,3.42012195122,13785.6861457
663,4459,Wright,EAGLE GROVE,99.0,13000.86,119.273944954,982.6,9.01467889908,50533,16.4581869812,4.07486238532,55930.3703834
664,4461,Polk,WINDSOR HEIGHTS,77.0,20888.01,52.3509022556,1417.6,3.55288220551,50324,18.9960174245,3.03147869674,75453.5538846
665,4462,Winnebago,BUFFALO CENTER,95.0,12610.01,45.03575,1037.2,3.70428571429,50424,16.5906717687,4.67007142857,58095.0005081
