,Store#,City,Total_Sales_2015_Q1,Sales_Mean_2015_Q1,County#,Avg_PPL_2015_Q1,Zip_Code_x,Total_Liters_2015_Q1,Avg_Liters_2015_Q1,Avg_Margin_2015_Q1,Total_Sales_2015,Sales_Mean_2015,Avg_PPL_2015,Zip_Code_y,Total_Liters_2015,Avg_Liters_2015,Avg_Margin_2015
227,3584,OELWEIN,66181.12,147.725714286,33.0,14.5722661565,50662,5604.81,12.5107366071,4.74044642857,265770.85,141.142246415,14.9696725999,50662,22511.99,11.9553850239,4.77964949549
228,3587,KEOKUK,9964.38,120.052771084,56.0,11.3380837636,52632,945.0,11.3855421687,3.98819277108,41954.34,121.960290698,11.9386351052,52632,3840.0,11.1627906977,4.15712209302
229,3591,ACKLEY,5809.0,79.5753424658,94.0,12.1545792564,50601,543.75,7.44863013699,4.30794520548,28510.31,85.3602095808,13.3081451383,50601,2556.25,7.65344311377,4.51323353293
230,3592,FORT DODGE,108527.28,151.574413408,42.0,13.7400146316,50501,9131.25,12.7531424581,4.99152234637,541209.73,160.882797265,13.9715900855,50501,44204.75,13.1405321046,5.02917954816
231,3606,GRUNDY CENTER,18054.08,90.2704,38.0,15.0024619048,50638,1340.87,6.70435,4.9125,69435.32,84.9881517748,15.707036778,50638,5341.6,6.53806609547,5.00831089351
232,3611,LOGAN,14443.44,101.003076923,43.0,11.6477788878,51546,1368.0,9.56643356643,4.04937062937,64258.98,103.310257235,11.8111920073,51546,5991.75,9.63303858521,4.14073954984
233,3612,MAQUOKETA,132731.13,67.1376479514,49.0,15.3491613074,52060,9976.85,5.04645928174,4.36147698533,496759.01,64.648491671,15.5002192558,52060,37429.07,4.87103982301,4.4042933368
234,3618,CEDAR RAPIDS,125778.26,208.933986711,57.0,14.6667663344,52404,10185.0,16.9186046512,5.08752491694,572238.18,194.771334241,14.4653951506,52404,46397.0,15.7920353982,5.11914567733
235,3621,SHELDON,71428.25,76.9700969828,71.0,17.4441038075,51201,5727.5,6.171875,4.87662715517,282868.27,75.734476573,18.0446134082,51201,22216.82,5.94827844712,5.07232396252
236,3622,SPIRIT LAKE,79851.96,176.273642384,30.0,14.7186208346,51360,6382.5,14.0894039735,5.30567328918,469113.62,209.706580241,15.3687085169,51360,36437.5,16.2885561019,5.49209655789
237,3624,NEWTON,41531.19,169.515061224,50.0,14.609154519,50208,3311.25,13.5153061224,4.99012244898,173030.55,160.958651163,14.5945692137,50208,13634.25,12.6830232558,5.21471627907
238,3625,ANKENY,114953.4,176.851384615,77.0,14.5803692308,50021,8956.5,13.7792307692,5.22001538462,492688.05,172.449439972,14.6960768038,50021,37409.25,13.0938921946,5.22955547777
239,3626,SPENCER,74914.98,154.783016529,21.0,13.2382615112,51301,6621.0,13.6797520661,5.17671487603,376986.3,169.355929919,14.0319924699,51301,31390.5,14.1017520216,5.24867026056
240,3628,CEDAR RAPIDS,89868.72,165.199852941,57.0,13.7799807423,52402,7386.0,13.5772058824,4.87733455882,404924.85,170.351220025,13.9949984975,52402,32907.75,13.8442364325,4.98363062684
241,3629,COUNCIL BLUFFS,101460.12,164.707987013,78.0,14.5005898268,51503,7514.25,12.1984577922,4.92594155844,452118.39,156.82219563,14.6945537882,51503,33087.75,11.4768470343,5.1489316684
242,3631,AUDUBON,30927.86,67.2344782609,5.0,14.5981938406,50025,2681.31,5.82893478261,4.38993478261,84456.71,72.1235781383,14.7254439632,50025,7439.34,6.35298035867,4.40020495303
243,3632,DUBUQUE,97351.7,146.835143288,31.0,13.9141341665,52003,7737.0,11.6696832579,4.85028657617,427808.9,146.309473324,13.7962922611,52003,33507.25,11.4593878249,4.96189124487
244,3635,OGDEN,14537.36,78.1578494624,8.0,16.0799027138,50212,1156.25,6.21639784946,4.90580645161,63677.22,72.2783427923,14.8389751905,50212,5248.25,5.95715096481,4.61693530079
245,3644,ALTOONA,127639.95,158.756156716,77.0,14.2999792703,50009,10229.25,12.7229477612,4.99895522388,575941.85,160.518910256,14.3854858789,50009,44716.25,12.4627229654,5.07059364548
